text;label
"De prinses was als erfgename van Polen een goede partij voor de Boheemse koning Wenceslaus II. In 1300 werd ze naar Bohemen gebracht en werd er opgevoed door de tante van Wenceslaus II. In 1303 huwde de toen 17-jarige Richezza met de 32-jarige Wenceslaus II, die naast koning van Bohemen in 1300 ook koning van Polen was geworden. Vervolgens werd Richezza door Hendrik van Würben, de bisschop van Breslau, tot koningin-gemalin van Bohemen gekroond en nam ze voortaan de naam Elisabeth aan. In 1305 baarde Richezza een dochter Agnes. De verwachte zoon, die de Poolse kroon zou erven, kwam er niet meer omdat Wenceslaus II in juni 1305 stierf. Hierdoor werd Richezza op slechts 19-jarige leeftijd al weduwe.
";nl
"L'alimentation industrielle convient parfaitement à la croissance du chiot et à l'adulte. L'alimentation ménagère nécessite un supplément en vitamines et en calcium.
";fr
"Nel 2008 consolida la propria presenza nel mercato francese con l'acquisizione del ramo tissue di Novacare s.a. con lo stabilimento di Laval quasi interamente dedicato alla produzione di articoli per il mercato AFH (away from home).
";it
"In 1978 Johnson was awarded an American Institute of Architects Gold Medal. In 1979 he became the first recipient of the Pritzker Architecture Prize the most prestigious international architectural award.
";en
"Attirant dans ses clubs les meilleurs joueurs des deux hémisphères, monnayant des droits de diffusion TV avantageux, populaire auprès du public qui garnit les stades, le Top 14 est aujourd'hui considéré comme le championnat national de rugby le plus riche au monde.
";fr
"Poço de Jacó está localizado a 76 metros de Tell Balata, na parte oriental da cidade de Nablus dentro do recinto do mosteiro de Bir Ya'qub. O poço é localizado na entrada da igreja nos terrenos do mosteiro, e descendo as escadas até a cripta onde o poço é conservado junto com ""um pequeno guincho, um balde, ícones de ex-votos e muitas velas acesas"". A tumba de José está localizado ao norte do poço de Jacó em um prédio da Era Otomana marcado por uma cúpula branca.
";pt
"Bussy-Saint-Georges has built its identity on a green model environment with parks and gardens. They represent 155 hectares of integrated green spaces, 9 kilometres (6 miles) of soft connecting links, 10 squares and parks in the city centre, 8 pools and more than 8,200 trees today.
";en
"Deliège werd gemeenteraadslid (1938) en burgemeester (1947-1970) van Binche. Hij was ook provincieraadslid van 1946 tot 1958. Hij nam initiatieven voor de heropleving van het carnaval van Binche. Hij stichtte het Internationaal Museum van het Carnaval en de Maskers.
";nl
"Tussen een kruising in het westen van Bischofswerda waar de B6 aansluit op de B98 een kruising met de B156 in het oosten van de stad Bautzen is de weg Vervangen door de B98, de A4 en de B156.
";nl
"En application du schéma départemental de coopération intercommunale, elle fusionne le 1er janvier 2017 avec la communauté de communes Bourbre-Tisserands, la communauté de communes de la Vallée de l'Hien et la communauté de communes Les Vallons du Guiers pour créer la Communauté de communes Les Vals du Dauphiné.
";fr
"Katie nasceu e cresceu na cidade de Middlebury no condado de New Haven, estado de Connecticut. Seus pais são Clara e Mark Stevens. Katie ainda tem um irmão, chamado Ryan Stevens. Se formou na Pomperaug High School na cidade de Southbury, Connecticut em junho de 2010
";pt
"Segundo o censo de 2001, Jiribam tinha uma população de 6426 habitantes. Os indivíduos do sexo masculino constituem 49% da população e os do sexo feminino 51%. Jiribam tem uma taxa de literacia de 73%, superior à média nacional de 59.5%: a literacia no sexo masculino é de 80% e no sexo feminino é de 66%. Em Jiribam, 13% da população está abaixo dos 6 anos de idade.
";pt
"Candela Maza è una ragazza di 15 anni che è rimasta orfana insieme ai suoi fratelli Hosana e Facundo. Il giudice decise che i ragazzi devono andare a vivere insieme allo zio Juan Maza, un uomo ricco.
";it
"O troço da Linha de Sines entre o quilómetro 156,4 e Santiago do Cacém foi inaugurado em 21 de Junho de 1934. Os convidados partiram às 9 horas da Estação Ferroviária do Sul e Sueste, em Lisboa, atravessando o Rio Tejo no barco Évora. Entre os convidados, estava o Ministro das Obras Públicas, Duarte Pacheco, e o seu chefe de gabinete, Carlos Alves; o director geral do Ministério, Raul da Costa Couvreur; o chefe da Divisão de Construção, Rodrigo Severiano Monteiro; os representantes da direcção da Companhia dos Caminhos de Ferro Portugueses, Luís Costa, Manuel Gonçalves, Constantino Schrdëter de Carvalho, Joaquim Barros, Júlio dos Santos e Henrique Bravo; Henrique Peyssoneau; Joaquim Bravo; Mendes Barata; Jorge Nunes; o director geral dos caminhos de ferro, Álvaro de Sousa Rego; o presidente do Conselho de Administração da CP, Vasconcelos Correia; o chefe do Serviço de Movimento, Barbosa Pita; o representante da Junta Autónoma das Estradas, Jorge Moreira; e o professor António Jacinto de Vilhena, que foi um dos principais impulsionadores da construção da Linha de Sines. Foram recebidos, na Estação do Barreiro, pelo Governador Civil de Setúbal, Mário Cais Esteves, que acompanhou a comitiva até Santiago do Cacém, e por outras altas individualidades. O comboio inaugural, que partiu do Barreiro, era formado por uma locomotiva e duas carruagens. À passagem por Setúbal, foram recebidos pelos oficiais de Infantaria 11, comandados pelo tenente-coronel Marcus Escrivanis, o comandante da Polícia de Segurança Pública, e uma secção da Acção Escolar Vanguarda, que embarcou no comboio. Também seguiram viagem no comboio alguns membros da Câmara Municipal, o reitor do Liceu, António Manuel Gamito, e os delegados da Junta Geral do Distrito.
";pt
"Die Windkiste – Das Rektorat der Antillen (Fort-de-France, Martinique, Frankreich, Kolonialstil um 1900, Christian Hauvette). Produktion 1998, Erstausstrahlung am 9. Juni 2001.
";de
"Im Herbst 2008 begann mit den HzL-Classic-Zügen nach 30 Jahren erneut der SPNV, zumindest mit Ausflugszügen. 2009 wurde der Freizeitverkehr als „3-Löwen-Takt Radexpress Eyachtäler“ aufgenommen und schrittweise ausgeweitet. Seit 2012 verkehrt er an allen Sonn- und Feiertagen vom 1. Mai bis zum dritten Sonntag im Oktober. Dabei pendelt ein Triebwagen im Zweistundentakt zwischen Eyach und Hechingen Landesbahn (Kursbuchstrecke 767). Bis 2011 wurde hauptsächlich eine historische MAN-Schienenbus-Garnitur eingesetzt (dann Fristablauf der Fahrzeuge und anschließender Verkauf), die ab 2012 durch moderne Regio-Shuttle ersetzt wurde. Weitere Fahrten gibt es alljährlich zum Haigerlocher Christkindlesmarkt. Zukünftige Fahrpläne sehen einen 30-Minuten-Takt im Anschluss an das Touristikangebot zu der Metropolregion Stuttgart auf der Gäubahn vor.
";de
"Minnesota's state parks are spread across the state in such a way that there is a state park within 50 miles (80 km) of every Minnesotan. The most recent park created is Lake Vermilion State Park, created in 2010. Currently the Parks range in size from Franz Jevne State Park with 118 acres (48 ha) to Saint Croix State Park with 34,037 acres (13,774 ha). Two parks include resources listed as National Natural Landmarks (Big Bog State Recreation Area and Itasca State Park) and six parks encompass National Historic Landmarks (Charles A. Lindbergh, Fort Snelling, Mille Lacs Kathio, St. Croix, Soudan Underground Mine, and Split Rock Lighthouse State Parks). 52 sites or districts across 34 Minnesota state parks are on the National Register of Historic Places (NRHP), including 22 parks with developments constructed by New Deal-era job creation programs in the 1930s.
";en
"Pessoas que eram contra os muckers passaram a ser assassinadas, e os crimes foram atribuídos aos muckers. Em 4 de maio de 1874, aconteceu a grande reunião na casa dos Maurer, com a presença estimada de 100 a 500 pessoas. Jacobina anunciou o fim do mundo e ordenou o extermínio de dezesseis famílias inimigas. Em 15 de junho, aconteceu o massacre da família Kassel. O casal Maurer teve mandado de prisão decretado. Em 25 de junho, catorze casas de inimigos foram queimadas e dez pessoas foram mortas, inclusive crianças.
";pt
"D'autres auteurs se sont inspirés de ce village pour agrémenter leurs œuvres. On peut citer Paul Fort dans son recueil Ballades Françaises, mais également quelques écrivains locaux comme Eugène Soitel avec Roissy dans la passé ; Fernande Castelnau avec Le Carême de Roissy-en-France ; Aimé Julien avec Le Roman de Roissy-en-France.
";fr
"Nordahl Road is a station served by North County Transit District's SPRINTER light rail line. It straddles the city limits of San Marcos and Escondido, California, with its mailing address in Escondido. The station is located between Barham Drive and Auto Park Way/Nordahl Road, both of which intersect East Mission Road. It consists of a single platform and track.
";en
"A talk by Takis Fotopoulos about the Internationalization of the Capitalist Market Economy and the project of Inclusive Democracy. A talk given by Takis Fotopoulos at the University of Vermont in 1996, followed by a discussion in which Murray Bookchin, Dan Chodorkoff and others take part. Video in 3 parts. Retrieved 4 January 2014.
";en
"Ceduto il ruolo di The Falcon al fratello Tom Conway, Sanders si affermò come uno dei migliori attori cinematografici dell'epoca, interprete dall'innata eleganza e dai modi spesso ingannevolmente soavi, e dotato di una gradevole voce baritonale dal marcato accento britannico. Tra le molte celebri pellicole da lui interpretate, sono da ricordare i thriller Il prigioniero di Amsterdam (1940) e Rebecca - La prima moglie (1940), entrambi diretti da Alfred Hitchcock, Il ritratto di Dorian Gray (1945), in cui interpretò la figura del diabolico e libertino Lord Henry Wotton, il noir Lo sparviero di Londra (1947), il romantico Il fantasma e la signora Muir (1947), nei panni dello spregiudicato scrittore Miles Farley, e il dramma in costume Ambra (1947), in cui vestì i panni del re Carlo II d'Inghilterra, ruolo che avrebbe ripreso una decina di anni più tardi nell'avventura in costume Il ladro del re (1956).
";it
"While running a campaign to elect his sister Sherry Martschink to Lieutenant Governor in 1990, Shealy, with the help of Robert Kohn, recruited unemployed black fisherman Benjamin Hunt, Jr. to run for Congress against Republican Arthur Ravenel, Jr. Shealy sought to increase the turnout of white voters by playing to the racial fears of the South Carolina electorate. He promised Hunt, who had a prior drug arrest, $900 to run for Congress and paid for his $2414 filing fee. Shealy paid for the fees with an unreported $5000 campaign contribution to his sister from Laidlaw Environmental Services.
";en
"L'entartage de Philippe Douste-Blazy, en 1995, a également donné lieu à un dépôt de plainte contre Noël Godin, mais le procès a débouché sur une relaxe.
";fr
"Según el censo de 2010,[4]​ había 1462 personas residiendo en el municipio de Homer. La densidad de población era de 23,04 hab./km². De los 1462 habitantes, el municipio de Homer estaba compuesto por el 98,7 % blancos, el 0,62 % eran afroamericanos, el 0,27 % eran de otras razas y el 0,41 % eran de una mezcla de razas. Del total de la población el 0,55 % eran hispanos o latinos de cualquier raza.[5]​
";es
"Reynolds was born in Wiesbaden, Germany, where his father, a career military man, was stationed. He says he hails from nowhere, because the family moved so often. His family lived many places, including Germany, a farm in Indiana, an army base in Alaska, Kansas, and Missouri, where he lived longer than any other place until he was old enough to move away as an adult. Both parents were extremely devout Christians and he says he grew up with Christian music all around him. However, his older sister owned some albums from The Beatles, which he says, even as a very young child, he loved instantly, playing air guitar to their music.
";en
"Im Verlauf der Auseinandersetzungen mit den Ständen war Dietrich versucht, auf das Amt zu verzichten und es wurde geplant, einen Koadjutor zu bestimmen. Insgeheim wurde dafür einer der Söhne Caspars Friedrich von Fürstenberg und später Johann Gottfried von Fürstenberg ausersehen. Dieser Versuch, auch nach Dietrich einen Fürstenberger auf den Bischofssessel in Paderborn zu bringen, scheiterte am zunehmenden Einfluss der Wittelsbacher im Nordwesten des Heiligen Römischen Reiches. Daher wurde 1612 Ferdinand von Bayern zum Koadjutor gewählt.
";de
"Prima che iniziasse il 24 settembre 2006, la ABC ha usato questa canzone per promuovere il primo episodio, Listen to the Rain on the Roof, della terza stagione di Desperate Housewives.
";it
"V.2. Hubert Julius Maximilian gen. Max von Guilleaume (* 17. Februar 1866; † 15. Juni 1932; Geheimer Kommerzienrat) ∞ Clara Michels (1869–1930), Tochter von Gustav Michels
";de
"Além de sua beleza natural, Olinda é também um dos mais importantes centros culturais do Brasil. Foi declarada, em 1982, Patrimônio Histórico e Cultural da Humanidade pela Organização das Nações Unidas para a Educação, a Ciência e a Cultura.
";pt
"Since the days of the Revolution, a one-room stone schoolhouse had stood on a grassy area known as the Common, located close to the present intersection of South Orange Avenue and Academy Street in Maplewood. In 1814, this building blocked the construction of a new toll highway from Newark to Morristown. The 73 ""Proprietors and Associates"" of the school met on August 3 of that year and resolved to erect a new school building near the site of the old one, naming seven Trustees to thereafter oversee the education of local children. The resolution reflected ""the desire of the meeting that the said school should in the future have the name of Columbian School of South Orange.""
";en
"Obreption and subreption (both from the Latin word repo/reptum (genitive), meaning to creep or crawl. The prefix, Ob- means ""towards, against, or, in the way of""; Sub- means ""under, or, close to"") are terms used in ancient Roman law and in the canon law applied by the Catholic church to species of fraud by which an ecclesiastical rescript is obtained.
";en
"La Chapelle-d'Abondance relève de l'arrondissement de Thonon-les-Bains et de la cinquième circonscription de la Haute-Savoie, dont le député est Marc Francina (UMP) depuis les élections de 2012.
";fr
"The boys' soccer team was coached by Gene Chyzowych, one of the most successful active scholastic soccer coaches in the nation. The 2007 boys' soccer team won the North II, Group IV state sectional championship with a 1−0 win over Westfield High School in the tournament final.
";en
"En la Copa Mundial de Fútbol Sub-20 de 2011, pitó los partidos Argentina vs. México, Colombia vs. Malí de la primera fase, en octavos de final pitó el partido Brasil vs. Arabia Saudita.
";es
"Nel film Il bisbetico domato, Don Cirillo durante l'allenamento dei suoi ragazzi, poco prima di incontrare il suo amico Elia (A. Celentano), cita tale motto per incitarli a dare il meglio in vista della finale di basket.
";it
"Aberllefenni is a village in the south of Gwynedd, Wales. It lies in the historic county of Merionethshire/Sir Feirionnydd, in the valley of the Afon Dulas.
";en
"Den Zweiten Weltkrieg überstand das Denkmal ohne größere Schäden. Witterungseinflüsse und Vandalismus erforderten jedoch zu Beginn der 1980er Jahre Maßnahmen zur Rettung des Denkmals. Der desolate Zustand des Marmors und der gewaltige Umfang des Denkmals verhinderten eine Verwahrung des Originaldenkmals und den Ersatz durch eine Nachbildung. Einerseits bestand die Gefahr, dass der Stein bei der Umsetzung einfach zerbröckelt wäre, andererseits stand im Lapidarium, dem üblichen Verwahrungsort, kein Platz zur Verfügung. 1987 erhielt das Denkmal deshalb nach einem Entwurf der Architektin Marianne Wagner ein Schutzdach, eine Stahlkonstruktion in Form eines plexiglasüberdeckten Tonnengewölbes. Ein Wachsüberzug schützt den Stein zusätzlich vor Witterungseinflüssen.
";de
"De acordo com relatos alguns os quais da própria Vera Sílvia, alguns membros de MR-8 tiveram de deixar a casa onde viviam após serem denunciados por uma vizinha, ela e José acabaram cercados pela polícia e entre os muitos tiros de fuzil ele acabou sendo atingido. A militante conseguiu escapar também ferida em um táxi,ao olhar para trás ainda pode vê-lo se levantando do chão bastante machucado e ensaguentado atirando contra dois policiais e depois correndo rua abaixo fazendo o caminho inverso de Vera que seguiu para um outro local onde havia combinado de reencontrá-lo caso se separassem em alguma missão, José porém nunca apareceu. Ao chegar a um prédio onde moravam outros integrantes da mesma organização acabou sendo visto por um militar que desconfiando de seu estado o denunciou, o militante então pegou a arma de um de seus companheiros e esperou pelo chegada de seus captores.
";pt
"L'incontro con Silva è a senso unico, in quanto l'ispanico porta l'avversario a terra subito e lo controlla con un violento e costante ground and pound che porta a far sanguinare Silva al volto: il KO tecnico viene già chiamato nel primo round.
";it
"Cornus canadensis (Canadian dwarf cornel, Canadian bunchberry, quatre-temps, crackerberry, creeping dogwood) is a species of flowering plant in the Cornaceae (dogwood) family, native to eastern Asia (Japan, Korea, northeastern China (Jilin Province) and the Russian Far East), the northern United States, Colorado, New Mexico, Canada and Greenland. Unlike its relatives, which are for the most part substantial trees and shrubs, C. canadensis is a creeping, rhizomatous perennial growing to about 20 cm (8 in) tall.
";en
"Durant son enfance, Adam Young a révélé qu'il aimait faire du skateboard, activité qu'il pratique toujours, bien qu'il avoue dévouer la majeure partie de son temps à la création musicale.
";fr
"Neben Einzelhandelsgeschäften und kleineren Supermärkten direkt im Ortskern gibt es auch große Bau- und Supermärkte an der Peripherie. Mit dem Bus gelangt man schnell in die Mainzer oder Wiesbadener Innenstadt, mit dem Auto sind es wenige Minuten auf der Autobahn Richtung Frankfurt, Koblenz oder Kaiserslautern. Familien mit Kindern finden in Mombach mehrere Kindergärten, zwei Grundschulen und eine Realschule plus; andere weiterführende Schulen sind mit den öffentlichen Verkehrsmitteln in kurzer Zeit zu erreichen.
";de
"I Washed My Hands in Muddy Water is een countrylied dat geschreven is door de Amerikaanse countryzanger Joe Babcock (1932). Stonewall Jackson was in 1965 de eerste die het op de plaat zette. De single bereikte de achtste plaats in de Hot Country Singles, de country-hitparade (thans de Hot Country Songs geheten). Daarna is het nummer ook door anderen opgenomen, onder wie Charlie Rich, Johnny Rivers en Elvis Presley.
";nl
"Lode war und ist Mitglied in zahlreichen Deutschen, Europäischen und Amerikanischen wissenschaftlichen Vereinigungen. Darunter zählen die Deutsche Gesellschaft für Kinder und Jugendmedizin, die American Association of Cancer Research, die American Society of Hematology, die American Association of Immunologists sowie die American Society of Clinical Oncology. Seit 2013 ist er Mitglied des Beratenden Wissenschaftsausschuss der International Society for Pediatric Oncology Europe Neuroblastoma (SIOPEN), Vorsitzender des Immuntherapie Komitees der SIOPEN und Mitglied des Wissenschaftskomitees der International Society for Pediatric Oncology (SIOP SPAC Member).
";de
"In 1931 was er veel interesse voor de opkomende luchtvaart onder de Delftse studenten. Een aantal van hen hebben onder leiding van Dick Asjes de Delftsche Studenten Aeroclub opgericht. Onder deze naam werden er lezingen georganiseerd en konden er tegen een voordelig tarief bij de Nederlandse Luchtvaart School vlieglessen gevolgd worden. Doordat er vanuit de DSA daarnaast zeer succesvolle lezingen waren, raakte de Technische Hogeschool van Delft (later TU Delft) ook in de ban van de luchtvaarttechniek. Op die manier is in overleg met de DSA de faculteit Vliegtuigbouw (later Luchtvaart- en Ruimtevaarttechniek) ontstaan.
";nl
"Em abril de 2002, a Liga Argelina de Direitos Humanos relatou 90 cabilas mortos, 5.000 feridos, dos quais 200 tornaram-se permanentemente inválidos e milhares de detenções, maus tratamentos, tortura e prisões arbitrárias.
";pt
"« Une mise en scène efficace et quelques scènes dures servent le propos de ce film, regard moderne sur une société où la soumission exigée des femmes va croissant. »
";fr
"4 Tan, 5 Küce, 6 Vekiloğlu, 7 Durusel, 8 İlkbaşaran, 9 Erdenay, 10 Ersözlü, 11 Tosun, 12 İnce, 13 S. İzzetin, 14 Güney, 15 Alp, All. Mehmet BaturalpFIBA EuroBasket 1973
";it
"En 1949, elle achève son second roman, Sous la baguette du Coudrier, dont elle diffère la publication. Le 24 novembre 1952, elle donne sa conférence Réminiscence au Cénacle libanais, dont elle est le premier membre féminin.
";fr
"Ally y Buttons encuentran el descodificador y Ally se pone a descodificar códigos. Ally y Chen pelean por el control del Gigantor. En el último piso de la Torre de Hierro, Gaff, el capitán Magnum y Marty pelean contra el General. Entonces, cuando el General ha vencido a todos menos a Marty este consigue derrotarle el solo. Al mismo tiempo Ally vence al doctor Chen en la lucha por el control del Gigantor, y este huye. Después aparecen Marty y Buttons en el remolque con Charly. Marty se acuerda que ese día era la conferencia de Ally en el CDF. La serie termina con la foto de todos juntos en el CDF.
";es
"Die verschiedenen Umschrift- bzw. Romanisierung-Systeme sind dadurch sehr komplex geworden. Zum Beispiel, die englische Übersetzung des Kubijovyč der Ukraine: A Concise Encyclopædia nutzt eine modifizierte Library of Congress (ALA-LC), wie für ukrainische und russische Namen-mit den Ausnahmen für Endungen oder verdoppelte Konsonanten Anwendung verschiedentlich persönliche und geografische Namen aufgeführt. Aus verschiedenen traditionellen, gewohnheitsmäßigen und auch aus technischen Gründen, verwenden Karten in der Enzyklopädie unterschiedliche Namenskonventionen. Die Namen der Personen werden meist in der internationalen Schreibweise in der britischen Transkription bei enzyklopädischen Texten wiedergeben. wiedergegeben, sondern daher auch in ihrer ursprünglichen Form im Index. Verschiedene geographische Namen in ihrer englischen, deutschen Transkription, aus der russischen oder in der ukrainischen Schreibweise und der polnischen Formen geben das w bzw. v in verschiedenen Formen wieder. Die Wissenschaftliche Transliteration wird hauptsächlich in Artikeln der Linguistik verwendet.
";de
"Eleito vice-prefeito de Natal em 1988 na chapa encabeçada por Wilma de Faria, foi eleito deputado federal pelo PFL em 1990, sendo reeleito em 1994, 1998 e 2002.
";pt
"Allendorf liegt nur einige Kilometer nördlich des Reiskirchener Autobahndreiecks. Über die Auffahrten Reiskirchen oder Grünberg besteht Anschluss an die A 5, A 485 und A 45 in alle Richtungen. Über Staufenberg gelangt man auf die B 3 in Richtung Marburg und Kassel.
";de
"Los primeros habitantes se establecieron cerca de 1380, siendo un grupo de mixtecas, zapotecas, otomíes y olmecas. Tras la conquista de México la población fue encargada a Sebastián y Luisa Narvaes. Se estableció como patrono a San Andrés, a quién se le creó una escultura en el siglo XVI. El 11 de febrero de 1599 el virrey Luis de Velasco y Ruiz de Alarcón otorgó un título en reconocimiento de las tierras comunales de los grupos originarios.[2]​
";es
"In der Kirche steht die älteste erhaltene Orgel in Ostpreußen. Sie ist zudem die einzige mit noch wesentlichen originalen Teilen erhaltene dreimanualige Orgel des 17. Jahrhunderts im ehemaligen Nordostdeutschland. Sie verfügt noch über den originalen Barockklang.
";de
"Graham Watson wurde im schottischen Rothesay auf der Isle of Bute geboren. Sein Vater war Offizier in der Royal Navy und seine Mutter Lehrerin. Er besuchte die Schule in Somerset und studierte anschließend an der Heriot-Watt University in Edinburgh, wo er 1979 einen Bachelor-of-Arts-Abschluss in Sprachen erwarb. Er spricht vier europäische Sprachen und arbeitete zwischen 1979 und 1980 als Dolmetscher. Von 1980 bis 1983 arbeitete er in der Verwaltung des Paisley Colleges.
";de
"O Palácio do Luxemburgo (Palais du Luxembourg, em francês) é um palácio localizado no 6º arrondissement de Paris, na França. Actualmente é a sede do Senado da França.
";pt
"De meeste applicatieframeworks voor Windows kapselen (ten minste gedeeltelijk) de Windows API in. Vandaar dat zowel het .NET-framework, Java als alle andere programmeertalen in Windows een wrapperbibliotheek hebben of zijn. Windows API Code Pack for Microsoft .NET Framework is een .NET-wrapperbibliotheek voor de Windows API.
";nl
"Andrew Johnston speelde goed genoeg om aan de leiding te blijven. Op de 2de plaats kreeg Jason Bernes gezelschap van Terry Pilkadaris en Moritz Lampert, die de enige speler was die geen bogey maakte. Maarten Lafeber staat als beste Nederlander op de 9de plaats.
";nl
"Utilizou-se vasta base de dados dos crimes cometidos no Reino Unido acerca de carreiras criminais individuais para se obter insights analíticos. Ademais, foram captadas diferentes facetas das carreiras criminais, sendo elas a) categoria de baixo risco e baixa frequência (frequência é representada pela letra grega lâmbida ƛ) criminal; b) categoria de alto risco e baixa-ƛ; c) categoria de alto risco e alta-ƛ.
";pt
"Hij werkte samen met grote namen uit de klassieke Perzische (Iraanse) muziek zoals Mohammad Reza Shajarian en Hossein Alizadeh, met wie hij het ensemble ‘Masters of Persian Music’ vormde. Zijn niet-aflatende zoektocht naar nieuwe vormen van samenwerking bracht hem samen met onder meer de Indiase muzikanten Shujaat Husain Khan (sitar en zang) en Swapan Chadhuri (tabla), de Turkse saz-speler Erdal Erzincan en de Amerikaanse strijkkwartetten Kronos en Brooklyn Rider.
";nl
"Reynolds has a son Josef, born in February 1982 with his wife, Linna. In 1995, he and girlfriend Diane Thomas had a daughter, Eura. They resided in New Mexico with her son Jostin Bileyu. In 2008, Thomas moved with their children to North Carolina. Tim followed, to be near his daughter Eura. He currently resides in North Carolina, after living for 17 years in Virginia and several years in New Mexico. On August 1st 2017 Reynolds married Kristin Nienkirchen in Turks and Caicos.
";en
"Le alture prendono il nome dal fiume Severskij Donec, che le costeggia per tutta la loro lunghezza, delimitandone il confine settentrionale ed orientale.
";it
"The other, more probable account, starts in 1604, when Schyrleus is born in Reutte, Austria. After joining the Augustine order in 1622, he is sent to the university at Ingolstadt, where he probably follows courses in astronomy and learns how to grind lenses. Following his graduation he does not return to his convent but enters the Capuchin order, which sends him to Linz in 1636 where he is to teach philosophy. Here, he comes in the service of Kurfürst Philipp Christoph von Sötern, the archbishop of Trier and Speyer, who is held captive by the emperor, Ferdinand III. The archbishop sends him on a mission to negotiate with Pope Urban VIII. The emperor however, seeing this diplomatic activity as a form of spying, bans Schyrleus from his lands in 1641.[2] From here on, both accounts of Schyrleus' life come together.
";en
"There was a reaction to these changes. Complaints arose over so-called ""fads and frills""-inessentials said to be leading to the neglect of reading, writing, spelling and arithmetic. New York papers read by local commuters campaigned for a return to the efficiency of the ""little old red schoolhouse."" But the changes were here to stay.
";en
"Jordi Gómez kwam in 1996 van UB Catalonia naar FC Barcelona. Vanaf 2005 was hij actief in Barça B. Jordi Gómez speelde twee officiële wedstrijden in het eerste elftal. Op 15 november 2005 debuteerde Jordi Gómez als invaller voor Deco in het duel tegen Gimnàstic de Tarragona in de halve finale van de Copa de Catalunya. Twee maanden later, in januari 2006, kwam de Spanjaard tegen Zamora CF in de achtste finale van de Copa del Rey als vervanger van Thiago Motta in het veld. Na de degradatie van Barça B in 2007 naar de Tercera División vertrok Jordi Gómez naar RCD Espanyol B. In het seizoen 2008-2009 werd Jordi Gómez uitgehuurd aan Swansea City, waar manager Roberto Martínez destijds actief was. Toen Roberto Martínez tekende bij Wigan Athletic, nam hij Jordi Gómez samen met Jason Scottland mee naar zijn nieuwe club.
";nl
"O estudo considerou características comuns de transgressores, de modo a identificar padrões de comportamento. Ademais, o estudo aborda também questões relativas à racionalidade da punição, a qual leva em consideração a duração entre o início da carreira criminal e a expectativa de término da mesma, visto que não haveria sentido em se aplicar pena superior à duração residual da referida carreira.
";pt
"Geboren als Gülden Göktürk übernahm sie nach den ersten Veröffentlichungen (1969), bei denen sie Orhan Gencebay begleitete, ab 1971 den Künstler(nach)namen ihrer Schwester Neşe Karaböcek. Nachdem der Ehemann ihrer Schwester Attila Alpsakarya behauptete mit ihr zusammen zu sein, durchlebte sie schwere Zeiten und sah sich schließlich gezwungen ihn zu heiraten.Sie lebte in den achtziger Jahren eine Zeit lang in der Bundesrepublik Deutschland, inspiriert wurde davon ihr Stück Yalan Almanya (Verlogenes Deutschland). Mit Bir Mucize Allah’ım brachte sie 1987 die erste in der Türkei produzierte CD heraus.
";de
"Serbia participará en los Juegos Olímpicos de París 2024. Responsable del equipo olímpico es el Comité Olímpico de Serbia, así como las federaciones deportivas nacionales de cada deporte con participación.
";es
